code,name,lat,long,tambon,amphoe,province,basin,sub_basin
ABRT,วัดเวฬุวัน,16.054735,103.66431,เหนือเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,ชี,ลำน้ำชีส่วนที่ 4/2
ACRU,ทต.ไก่คำ,15.788054,104.642235,ไก่คำ,เมืองอำนาจเจริญ,อำนาจเจริญ,มูล,ลำเซบก
ATG011,ปตร.พลเทพ,15.21593,100.07282,หาดท่าเสา,เมืองชัยนาท,ชัยนาท,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG021,เหนือ ปตร.มโนรมย์,15.330455,100.103325,วัดโคก,มโนรมย์,ชัยนาท,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG031,เหนือปตร.บรมธาตุ,15.158136,100.15353,ชัยนาท,เมืองชัยนาท,ชัยนาท,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG032,ท้ายปตร.บรมธาตุ,15.157781,100.152824,ชัยนาท,เมืองชัยนาท,ชัยนาท,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG042,ท้ายปตร.มะขามเฒ่า-อู่ทอง,15.222314,100.06234,มะขามเฒ่า,วัดสิงห์,ชัยนาท,ท่าจีน,ที่ราบแม่น้ำท่าจีน
ATG051,เหนือปตร.พระนารายน์,14.558294,100.76207,ท่าหลวง,ท่าเรือ,พระนครศรีอยุธยา,ป่าสัก,แม่น้ำป่าสักตอนล่างส่วนที่ 2
ATG052,ท้ายปตร.พระนารายน์,14.556708,100.762,ท่าหลวง,ท่าเรือ,พระนครศรีอยุธยา,ป่าสัก,แม่น้ำป่าสักตอนล่างส่วนที่ 2
ATG072,ท้ายปตร.พระศรีศิลป์,14.327325,100.87116,หนองแค,หนองแค,สระบุรี,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG081,เหนือปตร.พระธรรมราชา,14.077689,100.89208,บึงน้ำรักษ์,ธัญบุรี,ปทุมธานี,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG082,ท้ายปตร.พระธรรมราชา,14.076354,100.893906,บึงน้ำรักษ์,ธัญบุรี,ปทุมธานี,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG091,เหนือปตร.พระอินทราชา,14.144052,100.62136,วังน้อย,วังน้อย,พระนครศรีอยุธยา,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG092,ท้ายปตร.พระอินทราชา,14.143729,100.620766,พยอม,วังน้อย,พระนครศรีอยุธยา,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG101,ปตร.จุฬาลงกรณ์,13.981354,100.60567,ประชาธิปัตย์,ธัญบุรี,ปทุมธานี,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG111,เหนือปตร.มหาราช,15.15893,100.17328,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG112,ท้ายปตร.มหาราช,15.1614685,100.17264,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG121,เหนือปตร.ท่าโบสถ์,15.054189,100.01159,สามง่ามท่าโบสถ์,หันคา,ชัยนาท,ท่าจีน,ที่ราบแม่น้ำท่าจีน
ATG122,ท้ายปตร.ท่าโบสถ์,15.053487,100.011795,สามง่ามท่าโบสถ์,หันคา,ชัยนาท,ท่าจีน,ที่ราบแม่น้ำท่าจีน
ATG131,เหนือปตร.ชลมาร์คพิจารณ์,14.77117,100.08841,สามชุก,สามชุก,สุพรรณบุรี,ท่าจีน,ที่ราบแม่น้ำท่าจีน
ATG132,ท้ายปตร.ชลมาร์คพิจารณ์,14.770598,100.08824,สามชุก,สามชุก,สุพรรณบุรี,ท่าจีน,ที่ราบแม่น้ำท่าจีน
ATG141,เหนือปตร.โพธิ์พระยา,14.532452,100.122246,โพธิ์พระยา,เมืองสุพรรณบุรี,สุพรรณบุรี,ท่าจีน,ที่ราบแม่น้ำท่าจีน
ATG142,ท้ายปตร.โพธิ์พระยา,14.531798,100.12244,โพธิ์พระยา,เมืองสุพรรณบุรี,สุพรรณบุรี,ท่าจีน,ที่ราบแม่น้ำท่าจีน
ATG151,เหนือปตร.บางระจัน,14.925949,100.275826,เชิงกลัด,บางระจัน,สิงห์บุรี,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG152,ท้ายปตร.บางระจัน,14.925208,100.2759,เชิงกลัด,บางระจัน,สิงห์บุรี,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG161,เหนือปตร.ยางมณี,14.75102,100.41464,พิกุลทอง,ท่าช้าง,สิงห์บุรี,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG162,ท้ายปตร.ยางมณี,14.750365,100.41499,พิกุลทอง,ท่าช้าง,สิงห์บุรี,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG171,เหนือปตร.ผักไห่-เจ้าเจ็ด,14.436465,100.375626,บ้านใหญ่,ผักไห่,พระนครศรีอยุธยา,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG181,เหนือปตร.ช่องแค,15.14621,100.413,พรหมนิมิต,ตาคลี,นครสวรรค์,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
ATG182,ท้ายปตร.ช่องแค,15.145541,100.41324,พรหมนิมิต,ตาคลี,นครสวรรค์,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
BAKI,ทต.โคกสี,17.61603,103.427,โคกสี,สว่างแดนดิน,สกลนคร,โขงตะวันออกเฉียงเหนือ,แม่น้ำสงครามตอนบน
BARI,ศูนย์อปพร. อบต.บ้านไร่,15.082674,99.51936,บ้านไร่,บ้านไร่,อุทัยธานี,ท่าจีน,ห้วยกระเสียว
BBHN,อบต.บางหิน,9.536913,98.57948,บางหิน,กะเปอร์,ระนอง,ภาคใต้ฝั่งตะวันตก,ภาคใต้ฝั่งตะวันตกตอนบน
BBON,อบต.แจ้ซ้อน,18.816986,99.50003,แจ้ซ้อน,เมืองปาน,ลำปาง,วัง,แม่น้ำสวย
BBUA,ทต.บัวสว่าง,17.372969,103.984375,สว่าง,พรรณานิคม,สกลนคร,โขงตะวันออกเฉียงเหนือ,ห้วยน้ำอูน
BBWN,อบต.บางวัน,9.085675,98.44337,บางวัน,คุระบุรี,พังงา,ภาคใต้ฝั่งตะวันตก,ภาคใต้ฝั่งตะวันตกตอนบน
BCNG,อบต.บ้านยา,17.386854,103.29087,บ้านยา,หนองหาน,อุดรธานี,โขงตะวันออกเฉียงเหนือ,แม่น้ำสงครามตอนบน
BDAR,ทต.ดอนอะราง,14.587002,102.49561,ดอนอะราง,หนองกี่,บุรีรัมย์,มูล,ลำปลายมาศ
BDCP,อบต.ด่านชุมพล,12.444731,102.630066,ด่านชุมพล,บ่อไร่,ตราด,ชายฝั่งทะเลตะวันออก,แม่น้ำเมืองตราด
BDGN,ทม.บ้านดุง,17.704493,103.26375,ศรีสุทโธ,บ้านดุง,อุดรธานี,โขงตะวันออกเฉียงเหนือ,แม่น้ำสงครามตอนบน
BDLH,ทต.ลานหอย,17.008568,99.58295,ลานหอย,บ้านด่านลานหอย,สุโขทัย,ยม,น้ำแม่รำพัน
BDMG,อบต.กุมภวาปี,17.076815,103.02153,กุมภวาปี,กุมภวาปี,อุดรธานี,ชี,ลำปาวตอนบน
BDWN,อบต.ดอนหว่าน,16.008186,103.31903,ดอนหว่าน,เมืองมหาสารคาม,มหาสารคาม,ชี,ลำน้ำชีส่วนที่ 4/1
BGBO,ทต.เกาะช้าง,12.103389,102.352,เกาะช้าง,เกาะช้าง,ตราด,ภาคใต้ฝั่งตะวันออกตอนบน,ภาคใต้ฝั่งตะวันออกตอนบนส่วนที่ 1
BGRT,ทต.กงรถ,15.013624,102.7486,กงรถ,ห้วยแถลง,นครราชสีมา,มูล,ลำปลายมาศ
BGYN,อบต.บางใหญ่,10.306386,98.770744,บางใหญ่,กระบุรี,ระนอง,ภาคใต้ฝั่งตะวันตก,แม่น้ำกระบุรี ( ลุ่มน้ำสาขา )
BHMN,อบต.ห้วยมุ่น,17.809134,100.93943,ห้วยมุ่น,น้ำปาด,อุตรดิตถ์,น่าน,น้ำปาด
BHPK,วัดบ้านน้ำเย็น,14.615429,104.64976,เมือง,กันทรลักษ์,ศรีสะเกษ,มูล,ห้วยขยุงส่วนที่ 1
BHRA,อบต.ขี้เหล็ก,15.342338,104.82157,ขี้เหล็ก,เมืองอุบลราชธานี,อุบลราชธานี,มูล,ลำน้ำมูลส่วนที่ 3/5
BHUN,อบต.นาหินลาด,14.207245,101.35063,นาหินลาด,ปากพลี,นครนายก,บางปะกง,แม่น้ำปราจีนบุรีตอนล่าง
BJAN,อบต.บ้านจารย์,14.566499,103.742775,บ้านจารย์,สังขะ,สุรินทร์,มูล,ห้วยทับทัน
BJIG,อบต.บ้านเจียง,16.018774,101.50009,บ้านเจียง,ภักดีชุมพล,ชัยภูมิ,ชี,ลำน้ำชีตอนบนส่วนที่ 2
BKC001,สวนศรีนครเขื่อนขันธ์,13.69554,100.56311,บางกะเจ้า,พระประแดง,สมุทรปราการ,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
BKC002,ปตร.วัดบางกระเจ้านอก,13.689589,100.55495,บางกะเจ้า,พระประแดง,สมุทรปราการ,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา
