date,02T,03T,05T,10T,11T,12T,50T,52T,53T,54T,59T,61T
6/7/2012,,,,,,,,,,25,,
7/7/2012,,,,,,,,,,25,,
8/7/2012,,,,,,,,,,16,,
9/7/2012,,,,,,,,,,26,,
10/7/2012,,,,,,,,,,31,,
11/7/2012,,,,,,,,,,27,,
12/7/2012,,,,,,,,,,20,,
13/7/2012,,,,,,,,,,23,,
14/7/2012,,,,,,,,,,26,,
15/7/2012,,,,,,,,,,29,,
16/7/2012,,,,,,,,,,21,,
17/7/2012,,,,,,,,,,23,,
18/7/2012,,,,,,,,,,27,,
19/7/2012,,,,,,,,,,23,,
20/7/2012,,,,,,,,,,28,,
21/7/2012,,,,,,,,,,20,,
22/7/2012,,,,,,,,,,26,,
23/7/2012,,,,,,,,,,25,,
24/7/2012,,,,,,,,,,27,,
25/7/2012,,,,,,,,,,21,,
26/7/2012,,,,,,,,,,26,,
27/7/2012,,,,,,,,,,24,,
28/7/2012,,,,,,,,,,22,,
29/7/2012,,,,,,,,,,27,,
30/7/2012,,,,,,,,,,31,,
31/7/2012,,,,,,,,,,21,,
1/8/2012,,,,,,,,,,23,,
2/8/2012,,,,,,,,,,17,,
3/8/2012,,,,,,,,,,24,,
4/8/2012,,,,,,,,,,24,,
5/8/2012,,,,,,,,,,24,,
6/8/2012,,,,,,,,,,24,,
7/8/2012,,,,,,,,,,23,,
8/8/2012,,,,,,,,,,21,,
9/8/2012,,,,,,,,,,23,,
10/8/2012,,,,,,,,,,22,,
11/8/2012,,,,,,,,,,21,,
12/8/2012,,,,,,,,,,,,
13/8/2012,,,,,,,,,,,,
14/8/2012,,,,,,,,,,,,
15/8/2012,,,,,,,,,,,,
16/8/2012,,,,,,,,,,,,
17/8/2012,,,,,,,,,,,,
18/8/2012,,,,,,,,,,,,
19/8/2012,,,,,,,,,,,,
20/8/2012,,,,,,,,,,,,
21/8/2012,,,,,,,,,,,,
22/8/2012,,,,,,,,,,25,,
23/8/2012,,,,,,,,,,21,,
24/8/2012,,,,,,,,,,28,,
25/8/2012,,,,,,,,,,28,,
26/8/2012,,,,,,,,,,31,,
27/8/2012,,,,,,,,,,17,,
28/8/2012,,,,,,,,,,24,,
29/8/2012,,,,,,,,,,32,,
30/8/2012,,,,,,,,,,28,,
31/8/2012,,,,,,,,,,29,,
1/9/2012,,,,,,,,,,23,,
2/9/2012,,,,,,,,,,23,,
3/9/2012,,,,,,,,,,24,,
4/9/2012,,,,,,,,,,25,,
5/9/2012,,,,,,,,,,30,,
6/9/2012,,,,,,,,,,30,,
7/9/2012,,,,,,,,,,28,,
8/9/2012,,,,,,,,,,20,,
9/9/2012,,,,,,,,,,27,,
10/9/2012,,,,,,,,,,29,,
11/9/2012,,,,,,,,,,26,,
12/9/2012,,,,,,,,,,30,,
13/9/2012,,,,,,,,,,26,,
14/9/2012,,,,,,,,,,27,,
15/9/2012,,,,,,,,,,32,,
16/9/2012,,,,,,,,,,32,,
17/9/2012,,,,,,,,,,28,,
18/9/2012,,,,,,,,,,29,,
19/9/2012,,,,,,,,,,31,,
20/9/2012,,,,,,,,,,22,,
21/9/2012,,,,,,,,,,25,,
22/9/2012,,,,,,,,,,28,,
23/9/2012,,,,,,,,,,23,,
24/9/2012,,,,,,,,,,22,,
25/9/2012,,,,,,,,,,38,,
26/9/2012,,,,,,,,,,57,,
27/9/2012,,,,,,,,,,33,,
28/9/2012,,,,,,,,,,37,,
29/9/2012,,,,,,,,,,47,,
30/9/2012,,,,,,,,,,49,,
1/10/2012,,,,,,,,,,47,,
2/10/2012,,,,,,,,,,45,,
3/10/2012,,,,,,,,,,31,,
4/10/2012,,,,,,,,,,26,,
5/10/2012,,,,,,,,,,30,,
6/10/2012,,,,,,,,,,33,,
7/10/2012,,,,,,,,,,36,,
8/10/2012,,,,,,,,,,26,,
9/10/2012,,,,,,,,,,,,
10/10/2012,,,,,,,,,,,,
11/10/2012,,,,,,,,,,,,
12/10/2012,,,,,,,,,,,,
13/10/2012,,,,,,,,,,,,
14/10/2012,,,,,,,,,,,,
15/10/2012,,,,,,,,,,,,
16/10/2012,,,,,,,,,,,,
17/10/2012,,,,,,,,,,,,
18/10/2012,,,,,,,,,,,,
19/10/2012,,,,,,,,,,46,,
20/10/2012,,,,,,,,,,48,,
21/10/2012,,,,,,,,,,47,,
22/10/2012,,,,,,,,,,38,,
23/10/2012,,,,,,,,,,38,,
24/10/2012,,,,,,,,,,32,,
25/10/2012,,,,,,,,,,32,,
26/10/2012,,,,,,,,,,40,,
27/10/2012,,,,,,,,,,33,,
28/10/2012,,,,,,,,,,50,,
29/10/2012,,,,,,,,,,41,,
30/10/2012,,,,,,,,,,,,
31/10/2012,,,,,,,,,,38,,
1/11/2012,,,,,,,,,,32,,
2/11/2012,,,,,,,,,,31,,
3/11/2012,,,,,,,,,,31,,
4/11/2012,,,,,,,,,,31,,
5/11/2012,,,,,,,,,,31,,
6/11/2012,,,,,,,,,,32,,
7/11/2012,,,,,,,,,,32,,
8/11/2012,,,,,,,,,,33,,
9/11/2012,,,,,,,,,,34,,
10/11/2012,,,,,,,,,,33,,
11/11/2012,,,,,,,,,,32,,
12/11/2012,,,,,,,,,,33,,
13/11/2012,,,,,,,,,,33,,
14/11/2012,,,,,,,,,,33,,
15/11/2012,,,,,,,,,,32,,
16/11/2012,,,,,,,,,,31,,
17/11/2012,,,,,,,,,,34,,
18/11/2012,,,,,,,,,,33,,
19/11/2012,,,,,,,,,,,,
20/11/2012,,,,,,,,,,33,,
21/11/2012,,,,,,,,,,33,,
22/11/2012,,,,,,,,,,35,,
23/11/2012,,,,,,,,,,35,,
24/11/2012,,,,,,,,,,32,,
25/11/2012,,,,,,,,,,34,,
26/11/2012,,,,,,,,,,31,,
27/11/2012,,,,,,,,,,33,,
28/11/2012,,,,,,,,,,32,,
29/11/2012,,,,,,,,,,33,,
30/11/2012,,,,,,,,,,31,,
1/12/2012,,,,,,,,,,29,,
2/12/2012,,,,,,,,,,30,,
3/12/2012,,,,,,,,,,31,,
4/12/2012,,,,,,,,,,32,,
5/12/2012,,,,,,,,,,32,,
6/12/2012,,,,,,,,,,32,,
7/12/2012,,,,,,,,,,33,,
8/12/2012,,,,,,,,,,31,,
9/12/2012,,,,,,,,,,32,,
10/12/2012,,,,,,,,,,,,
11/12/2012,,,,,,,,,,,,
12/12/2012,,,,,,,,,,,,
13/12/2012,,,,,,,,,,,,
14/12/2012,,,,,,,,,,,,
15/12/2012,,,,,,,,,,,,
16/12/2012,,,,,,,,,,,,
17/12/2012,,,,,,,,,,68,,
18/12/2012,,,,,,,,,,74,,
19/12/2012,,,,,,,,,,59,,
20/12/2012,,,,,,,,,,46,,
21/12/2012,,,,,,,,,,52,,
22/12/2012,,,,,,,,,,59,,
23/12/2012,,,,,,,,,,38,,
24/12/2012,,,,,,,,,,33,,
25/12/2012,,,,,,,,,,55,,
26/12/2012,,,,,,,,,,70,,
27/12/2012,,,,,,,,,,67,,
28/12/2012,,,,,,,,,,61,,
29/12/2012,,,,,,,,,,47,,
30/12/2012,,,,,,,,,,45,,
31/12/2012,,,,,,,,,,26,,
1/1/2013,,,,,,,,,,43,,
2/1/2013,,,,,,,,,,56,,
3/1/2013,,,,,,,,,,59,,
4/1/2013,,,,,,,,,,,,
5/1/2013,,,,,,,,,,,,
6/1/2013,,,,,,,,,,62,,
7/1/2013,,,,,,,,,,59,,
8/1/2013,,,,,,,,,,78,,
9/1/2013,,,,,,,,,,86,,
10/1/2013,,,,,,,,,,69,,
11/1/2013,,,,,,,,,,55,,
12/1/2013,,,,,,,,,,,,
13/1/2013,,,,,,,,,,40,,
14/1/2013,,,,,,,,,,39,,
15/1/2013,,,,,,,,,,43,,
16/1/2013,,,,,,,,,,51,,
17/1/2013,,,,,,,,,,62,,
18/1/2013,,,,,,,,,,46,,
19/1/2013,,,,,,,,,,55,,
20/1/2013,,,,,,,,,,74,,
21/1/2013,,,,,,,,,,84,,
22/1/2013,,,,,,,,,,112,,
23/1/2013,,,,,,,,,,72,,
24/1/2013,,,,,,,,,,41,,
25/1/2013,,,,,,,,,,34,,
26/1/2013,,,,,,,,,,30,,
27/1/2013,,,,,,,,,,31,,
28/1/2013,,,,,,,,,,44,,
29/1/2013,,,,,,,,,,61,,
30/1/2013,,,,,,,,,,58,,
31/1/2013,,,,,,,,,,44,,
1/2/2013,,,,,,,,,,58,,
2/2/2013,,,,,,,,,,72,,
3/2/2013,,,,,,,,,,73,,
4/2/2013,,,,,,,,,,88,,
5/2/2013,,,,,,,,,,97,,
6/2/2013,,,,,,,,,,29,,
7/2/2013,,,,,,,,,,38,,
8/2/2013,,,,,,,,,,34,,
9/2/2013,,,,,,,,,,31,,
10/2/2013,,,,,,,,,,46,,
11/2/2013,,,,,,,,,,57,,
12/2/2013,,,,,,,,,,57,,
13/2/2013,,,,,,,,,,64,,
14/2/2013,,,,,,,,,,89,,
15/2/2013,,,,,,,,,,109,,
16/2/2013,,,,,,,,,,49,,
17/2/2013,,,,,,,,,,34,,
18/2/2013,,,,,,,,,,32,,
19/2/2013,,,,,,,,,,33,,
20/2/2013,,,,,,,,,,,,
21/2/2013,,,,,,,,,,,,
22/2/2013,,,,,,,,,,,,
23/2/2013,,,,,,,,,,47,,
24/2/2013,,,,,,,,,,60,,
25/2/2013,,,,,,,,,,70,,
26/2/2013,,,,,,,,,,63,,
27/2/2013,,,,,,,,,,31,,
28/2/2013,,,,,,,,,,32,,
1/3/2013,,,,,,,,,,22,,
2/3/2013,,,,,,,,,,28,,
3/3/2013,,,,,,,,,,39,,
4/3/2013,,,,,,,,,,44,,
5/3/2013,,,,,,,,,,50,,
6/3/2013,,,,,,,,,,68,,
7/3/2013,,,,,,,,,,80,,
8/3/2013,,,,,,,,,,72,,
9/3/2013,,,,,,,,,,35,,
10/3/2013,,,,,,,,,,37,,
11/3/2013,,,,,,,,,,40,,
12/3/2013,,,,,,,,,,38,,
13/3/2013,,,,,,,,,,47,,
14/3/2013,,,,,,,,,,33,,
15/3/2013,,,,,,,,,,46,,
16/3/2013,,,,,,,,,,43,,
17/3/2013,,,,,,,,,,27,,
18/3/2013,,,,,,,,,,29,,
19/3/2013,,,,,,,,,,36,,
20/3/2013,,,,,,,,,,30,,
21/3/2013,,,,,,,,,,32,,
